what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1304977748514
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1304977748515
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1304977748516
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1304977748517
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1304977748518
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1304977748519
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1304977748520
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1304977748521
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1304977748522
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1304977748524
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1304977748524
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1304977748526
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1304977748526
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1304977748527
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1304977748528
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1304977748529
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1304977748530
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1304977748531
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1304977748531
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1304977748532
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1304977748534
started,bundle,org.eclipse.equinox.p2.core,2.0.3.R36x_v20110111,"org.eclipse.equinox.p2.core",1304977748534
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.203.R36x_v20101220,"org.eclipse.equinox.p2.directorywatcher",1304977748535
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1304977748536
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1304977748537
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1304977748538
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1304977748539
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1304977748540
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1304977748540
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1304977748541
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1304977748541
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1304977748542
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1304977748542
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1304977748543
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1304977748544
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1304977748544
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1304977748545
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1304977748546
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1304977748548
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1304977748549
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1304977748549
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1304977748549
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1304977748550
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1304977748550
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1304977748550
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1304977748551
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1304977748551
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1304977748552
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1304977748552
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1304977748553
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1304977748590
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1304977748591
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1304977748592
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1304977748592
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1304977748593
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1304977748594
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1304977748594
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1304977748595
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1304977748596
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1304977748596
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1304977748597
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1304977748597
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1304977748598
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1304977748599
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1304977748599
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1304977748600
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1304977748601
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1304977748601
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1304977748602
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1304977748602
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1304977748603
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1304977748605
os,sysinfo,,,"win32",1304977748608
arch,sysinfo,,,"x86",1304977748608
ws,sysinfo,,,"win32",1304977748608
locale,sysinfo,,,"nl_NL",1304977748608
processors,sysinfo,,,"4",1304977748608
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1304977748608
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1304977748608
java.specification.name,sysinfo,,,"Java Platform API Specification",1304977748608
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304977748608
java.specification.version,sysinfo,,,"1.6",1304977748608
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1304977748608
java.version,sysinfo,,,"1.6.0_24",1304977748608
java.vm.info,sysinfo,,,"mixed mode, sharing",1304977748608
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1304977748608
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1304977748608
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304977748608
java.vm.specification.version,sysinfo,,,"1.0",1304977748608
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1304977748608
java.vm.version,sysinfo,,,"19.1-b02",1304977748608
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304977749200
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304977749223
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1304977749264
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1304977754761
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1304977754762
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304977755691
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304977780468
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1304977780573
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1304977780579
started,bundle,org.eclipse.jgit,0.11.1,"org.eclipse.jgit",1304977780820
started,bundle,org.eclipse.egit.core,0.11.1,"org.eclipse.egit.core",1304977780836
started,bundle,org.eclipse.egit.ui,0.11.1,"org.eclipse.egit.ui",1304977780863
started,bundle,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms",1304977781299
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1304977781526
started,bundle,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.adt",1304977781528
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1304977781546
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1304977781548
started,bundle,com.android.ide.eclipse.traceview,10.0.1.v201103111512-110841,"com.android.ide.eclipse.traceview",1304977781554
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304977783732
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304977784735
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304977785193
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304977790185
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304977791259
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304977816168
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1304977816819
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1304977816824
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304977819256
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304977819886
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1304977819891
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304977832547
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304977834123
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1304977834130
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1304977834130
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304977837573
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304977856150
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304977872192
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304977906207
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304977913859
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304977984000
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1304977984015
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304977984441
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304977991648
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1304977993321
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1304977993624
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1304977993902
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1304977998480
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304978002688
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304978004444
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304978007097
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.restartWorkbench",1304978007245
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1304978007286
stopped,bundle,com.soyatec.database,3.6.0.20110120,"com.soyatec.database",1304978007286
stopped,bundle,com.soyatec.edepend,3.6.0.20110120,"com.soyatec.edepend",1304978007287
stopped,bundle,com.soyatec.eemf,3.6.0.20110120,"com.soyatec.eemf",1304978007287
stopped,bundle,com.soyatec.euml2,3.6.0.20110120,"com.soyatec.euml2",1304978007287
stopped,bundle,com.soyatec.project.diagram,3.6.0.20110120,"com.soyatec.project.diagram",1304978007352
stopped,bundle,com.soyatec.project,3.6.0.20110120,"com.soyatec.project",1304978007464
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1304978019100
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1304978019102
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1304978019104
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1304978019105
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1304978019106
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1304978019108
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1304978019109
