what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1304978132006
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1304978132012
started,bundle,com.android.ide.eclipse.traceview,10.0.1.v201103111512-110841,"com.android.ide.eclipse.traceview",1304978132022
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1304978135645
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304978135726
closed,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1304978135726
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304978140532
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1304978140697
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1304978140734
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304978140761
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304978142391
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304978143597
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1304978143951
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304978144604
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304978146621
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304978148975
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304978163224
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304978163240
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1304978165718
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1304978166012
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1304978166297
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304978168481
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304978169772
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304978169922
